,Volume,Date,Close
1258,0.2120149532506702,2017-11-27,0.0536
1257,0.21983479557236696,2017-11-28,0.05316
1256,0.3773906604402501,2017-11-29,0.05187
1255,0.28692794814520156,2017-11-30,0.05181
1254,0.2275895172002128,2017-12-01,0.05125
1253,0.23914316249701906,2017-12-04,0.05059
1252,0.24088680561391845,2017-12-05,0.05098
1251,0.14859649160166905,2017-12-06,0.05164
1250,0.1748086264489837,2017-12-07,0.05223
1249,0.16667584752616332,2017-12-08,0.052469999999999996
1248,0.11308314044435962,2017-12-11,0.0526
1247,0.19928572515389797,2017-12-12,0.05244
1246,0.14912752568868232,2017-12-13,0.05257
1245,0.1753760371829361,2017-12-14,0.05287
1244,0.4415405525259202,2017-12-15,0.0536
1243,0.16996387418052328,2017-12-18,0.05425
1242,0.13413401371569428,2017-12-19,0.05399
1241,0.15753735175292305,2017-12-20,0.05368
1240,0.12698860092407893,2017-12-21,0.05354
1239,0.06815018647875794,2017-12-22,0.053439999999999994
1238,0.07350242545116838,2017-12-26,0.05329
1237,0.10559864533663303,2017-12-27,0.053009999999999995
1236,0.08579480899318052,2017-12-28,0.0528
1235,0.11575487524544271,2017-12-29,0.05267
1234,0.18216255537751808,2018-01-02,0.05366
1233,0.17843589781520014,2018-01-03,0.05458
1232,0.1358979563007517,2018-01-04,0.05479
1231,0.17000479790832979,2018-01-05,0.05551
1230,0.12434739652310546,2018-01-08,0.05571
1229,0.14180234080705972,2018-01-09,0.05564
1228,0.092683149320043,2018-01-10,0.05551
1227,0.10459309088195844,2018-01-11,0.055600000000000004
1226,0.23728892787759487,2018-01-12,0.056530000000000004
1225,0.2171831978436966,2018-01-16,0.05654
1224,0.14998448803644038,2018-01-17,0.056960000000000004
1223,0.1471917684051356,2018-01-18,0.056799999999999996
1222,0.15970955724157415,2018-01-19,0.05718
1221,0.16402489938047404,2018-01-22,0.05821
1220,0.23944391941724796,2018-01-23,0.05881
1219,0.22413389813674045,2018-01-24,0.05856
1218,0.1658093038294347,2018-01-25,0.05911
1217,0.265068181666707,2018-01-26,0.05938
1216,0.17939565666971025,2018-01-29,0.05932
1215,0.2188956609775053,2018-01-30,0.05887
1214,0.2148779902396743,2018-01-31,0.05911
1213,0.511905816970079,2018-02-01,0.05908
1212,0.8714448003206949,2018-02-02,0.05596
1211,0.598568956013186,2018-02-05,0.05312
1210,0.5423740195092722,2018-02-06,0.05422
1209,0.3440862162100214,2018-02-07,0.052770000000000004
1208,0.4651982023002324,2018-02-08,0.05039
1207,0.7221295451504876,2018-02-09,0.05231
1206,0.3798842471087786,2018-02-12,0.05273
1205,0.18031270544321598,2018-02-13,0.05271
1204,0.2585168125112673,2018-02-14,0.05364
1203,0.2262542993826523,2018-02-15,0.05457
1202,0.24806096245244558,2018-02-16,0.05478
1201,0.1978119837656273,2018-02-20,0.05518
1200,0.260766318374664,2018-02-21,0.055689999999999996
1199,0.15152091418238295,2018-02-22,0.0555
1198,0.12946172572870418,2018-02-23,0.0564
1197,0.1684901327922526,2018-02-26,0.05719
1196,0.2711469792034285,2018-02-27,0.05588
1195,0.3232328161649277,2018-02-28,0.055200000000000006
1194,0.37315375544631274,2018-03-01,0.05357
1193,0.32427523445377726,2018-03-02,0.05421
1192,0.14627845473377094,2018-03-05,0.054740000000000004
1191,0.11281973454554144,2018-03-06,0.055049999999999995
1190,0.16626888378853177,2018-03-07,0.05575
1189,0.20474433333945635,2018-03-08,0.05647
1188,0.2704296771965975,2018-03-09,0.05804
1187,0.2813577740826469,2018-03-12,0.0583
1186,0.2741660785036313,2018-03-13,0.057
1185,0.26426789543404605,2018-03-14,0.05744
1184,0.1948683984869723,2018-03-15,0.05753
1183,0.36471502293941493,2018-03-16,0.05672
1182,0.42654980128060177,2018-03-19,0.055
1181,0.3676158981370655,2018-03-20,0.05479
1180,0.2837724364189771,2018-03-21,0.054700000000000006
1179,0.48042556414640064,2018-03-22,0.05266
1178,0.32856654202237806,2018-03-23,0.05133
1177,0.45956729222894904,2018-03-26,0.052700000000000004
1176,0.41496887349859113,2018-03-27,0.05035
1175,0.5545208964635279,2018-03-28,0.05026
1174,0.4871349443619822,2018-03-29,0.051859999999999996
1173,0.45126627131403513,2018-04-02,0.05063
1172,0.3409922524712519,2018-04-03,0.05093
1171,0.3357359893842925,2018-04-04,0.05149
1170,0.20784268176334791,2018-04-05,0.05163
1169,0.24993046227192456,2018-04-06,0.0505
1168,0.19376394502343192,2018-04-09,0.051
1167,0.22202486459299703,2018-04-10,0.05183
1166,0.19232365715868566,2018-04-11,0.05125
1165,0.1911654507034629,2018-04-12,0.051859999999999996
1164,0.12373695091665814,2018-04-13,0.0518
1163,0.16602821329405054,2018-04-16,0.05231
1162,0.3670536840669616,2018-04-17,0.05397
1161,0.17530604461672733,2018-04-18,0.053770000000000005
1160,0.24680223303090443,2018-04-19,0.05447
1159,0.2658158516779024,2018-04-20,0.053869999999999994
1158,0.4791056115288949,2018-04-23,0.053689999999999995
1157,0.9612865112858541,2018-04-24,0.05113
1156,0.38198483607376826,2018-04-25,0.05115
1155,0.33323200938806713,2018-04-26,0.05217
1154,0.2548620962641013,2018-04-27,0.05157
1153,0.20359408427575154,2018-04-30,0.05093
1152,0.21062240973503155,2018-05-01,0.052039999999999996
1151,0.19521300225842247,2018-05-02,0.0513
1150,0.24153346547155968,2018-05-03,0.05132
1149,0.2236595401648243,2018-05-04,0.05255
1148,0.204380566870065,2018-05-07,0.052969999999999996
1147,0.1312719511011618,2018-05-08,0.05293
1146,0.30638117207462917,2018-05-09,0.054450000000000005
1145,0.21990933521944311,2018-05-10,0.05527
1144,0.1719829404813904,2018-05-11,0.055170000000000004
1143,0.24355188218944573,2018-05-14,0.05533
1142,0.2143084683610335,2018-05-15,0.054240000000000003
1141,0.13235837863697786,2018-05-16,0.054200000000000005
1140,0.13312878405251022,2018-05-17,0.054060000000000004
1139,0.2120097565868218,2018-05-18,0.05348
1138,0.12847825709538546,2018-05-21,0.054200000000000005
1137,0.104785367444351,2018-05-22,0.053770000000000005
1136,0.11698258707963845,2018-05-23,0.054299999999999994
1135,0.09114006494854461,2018-05-24,0.054270000000000006
1134,0.10320915434081875,2018-05-25,0.054200000000000005
1133,0.2159939738011284,2018-05-29,0.053399999999999996
1132,0.15555969636709827,2018-05-30,0.053869999999999994
