,Volume,Date,Close
1258,0.08030378639915672,2017-11-27,0.2124
1257,0.08220543409852105,2017-11-28,0.21614
1256,0.13252272914836413,2017-11-29,0.22288
1255,0.23000038451750285,2017-11-30,0.22816999999999998
1254,0.09797139059866908,2017-12-01,0.22678
1253,0.18290937893796275,2017-12-04,0.22141999999999998
1252,0.09497844663189176,2017-12-05,0.22009
1251,0.06313951981607441,2017-12-06,0.21994
1250,0.07305042090417521,2017-12-07,0.22015
1249,0.05679301724325018,2017-12-08,0.22391
1248,0.03319383861108418,2017-12-11,0.22277000000000002
1247,0.05921158093426978,2017-12-12,0.22249000000000002
1246,0.08797380546320485,2017-12-13,0.22435
1245,0.07845705234987466,2017-12-14,0.22125
1244,0.2091440001715141,2017-12-15,0.22182
1243,0.0930246984817322,2017-12-18,0.22266999999999998
1242,0.0609021261591376,2017-12-19,0.22204
1241,0.07198823187205167,2017-12-20,0.22238
1240,0.08381533427716154,2017-12-21,0.22169
1239,0.046713624272519995,2017-12-22,0.22
1238,0.028803634822439722,2017-12-26,0.2196
1237,0.04305522739173379,2017-12-27,0.22041999999999998
1236,0.02768098076030761,2017-12-28,0.22277000000000002
1235,0.05854849110766198,2017-12-29,0.22046000000000002
1234,0.10393184721066925,2018-01-02,0.22116
1233,0.0638443950294251,2018-01-03,0.22347999999999998
1232,0.07632903588121642,2018-01-04,0.22444999999999998
1231,0.06446768746345283,2018-01-05,0.22873
1230,0.08009699749690033,2018-01-08,0.22476
1229,0.07179337093477214,2018-01-09,0.22588
1228,0.059923995521709635,2018-01-10,0.22419999999999998
1227,0.06861696886515861,2018-01-11,0.22538999999999998
1226,0.12079165061225056,2018-01-12,0.22863999999999998
1225,0.2300293042061732,2018-01-16,0.2329
1224,0.1644166821422352,2018-01-17,0.23843
1223,0.20693215036410328,2018-01-18,0.24316
1222,0.13413949353326493,2018-01-19,0.24334999999999998
1221,0.1235924718223877,2018-01-22,0.24356
1220,0.09573182140095035,2018-01-23,0.24521
1219,0.07309348160792822,2018-01-24,0.24484999999999998
1218,0.06148625885909028,2018-01-25,0.24518
1217,0.0712890205665988,2018-01-26,0.24847
1216,0.0694045521375471,2018-01-29,0.24741
1215,0.40669851950436026,2018-01-30,0.23665
1214,0.1676917337335129,2018-01-31,0.23678
1213,0.13302197824849707,2018-02-01,0.23522
1212,0.11837725045617573,2018-02-02,0.23188
1211,0.2037803169015962,2018-02-05,0.22002000000000002
1210,0.2320270507931814,2018-02-06,0.22518000000000002
1209,0.1805059315044453,2018-02-07,0.22582
1208,0.15669835106909835,2018-02-08,0.21646
1207,0.20670761955167685,2018-02-09,0.22096000000000002
1206,0.1574605405292562,2018-02-12,0.22569
1205,0.09783388141752053,2018-02-13,0.22663999999999998
1204,0.08117659085527942,2018-02-14,0.22878
1203,0.1430832917251428,2018-02-15,0.22602
1202,0.10898289026649194,2018-02-16,0.22937000000000002
1201,0.0920880156471327,2018-02-20,0.22666
1200,0.09938639233070623,2018-02-21,0.22513
1199,0.07704452623321006,2018-02-22,0.22709000000000001
1198,0.06300786208944281,2018-02-23,0.23016
1197,0.08963629371385035,2018-02-26,0.23406
1196,0.08194763251586037,2018-02-27,0.23252
1195,0.13680325567413942,2018-02-28,0.22616
1194,0.10483713474122586,2018-03-01,0.22444999999999998
1193,0.07125158626141978,2018-03-02,0.22519
1192,0.07176527645122599,2018-03-05,0.22838
1191,0.07257352736104297,2018-03-06,0.22618000000000002
1190,0.09481258040193025,2018-03-07,0.22727
1189,0.11091717107758545,2018-03-08,0.22472999999999999
1188,0.15455833161681556,2018-03-09,0.22543000000000002
1187,0.09012815347718942,2018-03-12,0.22277000000000002
1186,0.09863361771082887,2018-03-13,0.22694
1185,0.08754424868674188,2018-03-14,0.22538
1184,0.09314206515598586,2018-03-15,0.22948
1183,0.18665521005258892,2018-03-16,0.22786
1182,0.0986179013041455,2018-03-19,0.22505
1181,0.10183961463694166,2018-03-20,0.22678
1180,0.101486164278523,2018-03-21,0.22282
1179,0.18907381125293232,2018-03-22,0.21521
1178,0.18847403716494393,2018-03-23,0.21255000000000002
1177,0.10164614154464371,2018-03-26,0.21907
1176,0.11282463272214288,2018-03-27,0.21796000000000001
1175,0.0924354645137391,2018-03-28,0.2185
1174,0.18040859480911509,2018-03-29,0.214
1173,0.20559693096384546,2018-04-02,0.21719999999999998
1172,0.1476888740512,2018-04-03,0.22458
1171,0.14843763517342787,2018-04-04,0.22879
1170,0.09855331024851599,2018-04-05,0.22907
1169,0.09409532711171673,2018-04-06,0.22396000000000002
1168,0.08689758794397015,2018-04-09,0.22272999999999998
1167,0.07675735484999313,2018-04-10,0.22679
1166,0.10382292013427663,2018-04-11,0.22190000000000001
1165,0.07292168890480208,2018-04-12,0.22424000000000002
1164,0.06078513457812224,2018-04-13,0.22428
1163,0.14207582879648237,2018-04-16,0.23032
